subject,issuer,subject_common_name,not_before,not_after,key_size,label
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",AXIS BANK,2019-04-06T13:33:35+00:00,2046-02-04T06:33:37+00:00,3508,benign
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",Paytm,2013-04-02T13:33:35+00:00,2053-04-06T06:33:37+00:00,3124,benign
"Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US",Common Name: xolbzxs,Android,2022-03-07T13:08:31+00:00,2037-02-08T05:40:48+00:00,1536,malicious
Common Name: tQPtic,Common Name: smgR,tQPtic,2022-05-07T13:08:31+00:00,2036-11-03T05:40:48+00:00,1792,malicious
"Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",Bank of Baroda,2016-12-07T13:33:35+00:00,2036-05-16T06:33:37+00:00,4084,benign
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91","Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",fssnet mpay,2023-11-03T13:33:35+00:00,2066-07-02T06:33:37+00:00,2932,benign
"Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷",Common Name: smgR,的撒娇好,2021-09-01T13:08:31+00:00,2036-02-23T05:40:48+00:00,1280,malicious
Common Name: xolbzxs,Common Name: xolbzxs,xolbzxs,2024-09-12T13:08:31+00:00,2040-07-27T05:40:48+00:00,832,malicious
Common Name: smgR,Common Name: bklcBIPVzk,smgR,2022-02-12T13:08:31+00:00,2045-11-09T05:40:48+00:00,1984,malicious
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: Symantec CA for Android, Organizational Unit: Android Applications, Organization: Symantec Corporation, Country: US",ICICI BANK,2011-06-05T13:33:35+00:00,2054-05-30T06:33:37+00:00,884,benign
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91","Common Name: Symantec CA for Android, Organizational Unit: Android Applications, Organization: Symantec Corporation, Country: US",Paytm,2019-01-09T13:33:35+00:00,2040-05-10T06:33:37+00:00,1972,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",AXIS BANK,2023-04-24T13:33:35+00:00,2052-08-18T06:33:37+00:00,2676,benign
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",LOTUS,2015-05-21T13:33:35+00:00,2061-06-14T06:33:37+00:00,1268,benign
Common Name: xolbzxs,Common Name: xolbzxs,xolbzxs,2022-09-18T13:08:31+00:00,2040-07-10T05:40:48+00:00,1024,malicious
Organizational Unit: Federal Bank,"Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN",,2013-04-20T13:33:35+00:00,2058-02-16T06:33:37+00:00,884,benign
"Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US","Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",Android,2019-09-18T13:33:35+00:00,2051-10-08T06:33:37+00:00,4020,benign
Common Name: uDxBFvtzt,Common Name: smgR,uDxBFvtzt,2024-09-12T13:08:31+00:00,2036-06-10T05:40:48+00:00,1792,malicious
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",AXIS BANK,2022-12-09T13:33:35+00:00,2061-12-24T06:33:37+00:00,3508,benign
"Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN","Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91",Bank of Baroda,2016-06-11T13:33:35+00:00,2051-06-17T06:33:37+00:00,3892,benign
"Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA","Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA",Dmitrii Barbasura,2021-08-27T13:08:31+00:00,2043-03-31T05:40:48+00:00,1408,malicious
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91",HDFC Bank,2017-07-23T13:33:35+00:00,2034-11-14T06:33:37+00:00,1844,benign
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",fssnet mpay,2011-05-22T13:33:35+00:00,2047-03-26T06:33:37+00:00,2356,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",AXIS BANK,2023-03-03T13:33:35+00:00,2063-04-05T06:33:37+00:00,756,benign
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",Paytm,2020-08-16T13:33:35+00:00,2055-04-22T06:33:37+00:00,4020,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",AXIS BANK,2020-05-15T13:33:35+00:00,2052-07-07T06:33:37+00:00,756,benign
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",Vivek Soneja,2017-01-30T13:33:35+00:00,2067-08-30T06:33:37+00:00,3316,benign
"Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",Bank of Baroda,2011-10-28T13:33:35+00:00,2066-02-02T06:33:37+00:00,3380,benign
Organizational Unit: Federal Bank,"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91",,2024-03-12T13:33:35+00:00,2039-04-26T06:33:37+00:00,2996,benign
"Common Name: sklndg, Organizational Unit: irugshel, Organization: dfuilgh, Locality: sdjkflcnjladsn, State/Province: oisdfhl, Country: 91",Common Name: uDxBFvtzt,sklndg,2022-05-23T13:08:31+00:00,2048-07-10T05:40:48+00:00,1216,malicious
Common Name: xolbzxs,Common Name: bklcBIPVzk,xolbzxs,2023-04-18T13:08:31+00:00,2040-06-21T05:40:48+00:00,1472,malicious
Common Name: bklcBIPVzk,Common Name: PLgkDbhpriL,bklcBIPVzk,2025-04-23T13:08:31+00:00,2047-08-18T05:40:48+00:00,832,malicious
Common Name: bklcBIPVzk,Common Name: ljRKCxEllEZC,bklcBIPVzk,2023-03-13T13:08:31+00:00,2042-01-01T05:40:48+00:00,1280,malicious
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",fssnet mpay,2018-05-10T13:33:35+00:00,2060-09-20T06:33:37+00:00,3572,benign
"Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US","Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷",Android,2024-07-31T13:08:31+00:00,2042-04-25T05:40:48+00:00,1728,malicious
"Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN","Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91",Bank of Baroda,2012-02-17T13:33:35+00:00,2044-11-18T06:33:37+00:00,884,benign
"Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA","Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA",Dmitrii Barbasura,2022-02-12T13:08:31+00:00,2040-06-10T05:40:48+00:00,704,malicious
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",ICICI BANK,2012-11-18T13:33:35+00:00,2047-10-08T06:33:37+00:00,1588,benign
Common Name: xolbzxs,Common Name: ljRKCxEllEZC,xolbzxs,2023-06-28T13:08:31+00:00,2041-10-25T05:40:48+00:00,1792,malicious
"Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA","Common Name: sklndg, Organizational Unit: irugshel, Organization: dfuilgh, Locality: sdjkflcnjladsn, State/Province: oisdfhl, Country: 91",Dmitrii Barbasura,2022-09-12T13:08:31+00:00,2046-09-15T05:40:48+00:00,1984,malicious
Common Name: xolbzxs,Common Name: ljRKCxEllEZC,xolbzxs,2024-07-09T13:08:31+00:00,2046-12-03T05:40:48+00:00,1920,malicious
"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",Common Name: xolbzxs,axis,2024-10-01T13:08:31+00:00,2039-02-13T05:40:48+00:00,896,malicious
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91","Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN",fssnet mpay,2021-07-23T13:33:35+00:00,2043-05-23T06:33:37+00:00,2356,benign
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",HDFC Bank,2023-08-12T13:33:35+00:00,2049-03-29T06:33:37+00:00,564,benign
Common Name: uDxBFvtzt,Common Name: PLgkDbhpriL,uDxBFvtzt,2023-04-24T13:08:31+00:00,2044-12-27T05:40:48+00:00,1984,malicious
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",LOTUS,2018-09-09T13:33:35+00:00,2038-08-11T06:33:37+00:00,2164,benign
Common Name: smgR,Common Name: ljRKCxEllEZC,smgR,2025-06-14T13:08:31+00:00,2042-02-07T05:40:48+00:00,1472,malicious
Common Name: uDxBFvtzt,Common Name: smgR,uDxBFvtzt,2023-01-05T13:08:31+00:00,2046-03-31T05:40:48+00:00,1728,malicious
"Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US","Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷",Android,2024-10-06T13:08:31+00:00,2041-08-19T05:40:48+00:00,768,malicious
"Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA","Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA",Dmitrii Barbasura,2021-04-02T13:08:31+00:00,2039-10-28T05:40:48+00:00,1024,malicious
Common Name: PLgkDbhpriL,Common Name: smgR,PLgkDbhpriL,2024-02-01T13:08:31+00:00,2046-02-19T05:40:48+00:00,1856,malicious
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91",AXIS BANK,2016-01-08T13:33:35+00:00,2053-01-06T06:33:37+00:00,1460,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",AXIS BANK,2023-11-05T13:33:35+00:00,2051-04-08T06:33:37+00:00,3892,benign
Organizational Unit: Federal Bank,"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",,2021-07-01T13:33:35+00:00,2058-09-18T06:33:37+00:00,756,benign
"Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US","Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN",Android,2020-10-26T13:33:35+00:00,2051-08-10T06:33:37+00:00,1204,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN",AXIS BANK,2022-07-25T13:33:35+00:00,2035-03-05T06:33:37+00:00,1716,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",AXIS BANK,2015-08-27T13:33:35+00:00,2039-11-03T06:33:37+00:00,3380,benign
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91","Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN",Paytm,2017-01-16T13:33:35+00:00,2063-11-12T06:33:37+00:00,2932,benign
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",LOTUS,2019-04-03T13:33:35+00:00,2067-01-02T06:33:37+00:00,1012,benign
Common Name: PLgkDbhpriL,"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",PLgkDbhpriL,2022-07-10T13:08:31+00:00,2041-04-20T05:40:48+00:00,768,malicious
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",Organizational Unit: Federal Bank,fssnet mpay,2022-07-22T13:33:35+00:00,2049-03-24T06:33:37+00:00,820,benign
