package_name,app_name,min_sdk,target_sdk,app_size_mb,label
com.bankofbaroda.IDBI.secure,iMobile,20,29,166.55,benign
net.fedmobile.SBIFreedomPlus,bob World Pro,24,34,177.68,benign
com.tus.fake_oauth_client_xf,Іոԁusіոԁ Crеԁіt Cаrԁ Pro,25,35,24.99,malicious
com.rc888.efdfbbp,Axis Bank,20,27,22.26,malicious
com.phonepe.npci,HDFC Bank App,27,32,247.42,benign
com.kotak811mobilebankingapp.android.free,HDFC Bank App,21,33,248.8,benign
net.bankofbaroda.mconnect,iMobile 2025,23,29,201.55,benign
com.csam.hdfc,YONO SBI,28,34,127.93,benign
in.snapwork.npci,bob World Free,30,30,45.71,benign
net.phonepe.mconnect,Kotak811 Pro,19,29,208.39,benign
com.rc888.Trading,Іոԁusіոԁ Crеԁіt Cаrԁ,20,33,41.15,malicious
in.fedmobile.IDBI.service,YONO SBI,25,32,75.97,benign
com.rc888.example,Му Cаrԁs,18,26,32.04,malicious
com.sbi.indus.free,Yono Lite SBI,25,35,48.96,benign
net.snapwork.lotusintouch,HDFC Bank,31,31,79.34,benign
in.csam.npci,iMobile 2025,21,35,113.91,benign
com.org.paytm,bob World,22,34,79.95,benign
com.tus.jkohjvyijw,Flash Player Lite,15,25,2.13,malicious
com.uvsjtq.android,Fake Bank,17,23,16.4,malicious
in.hdfcbank.indus,Yono Lite SBI,22,29,124.53,benign
com.example.ubxzjtjugbt,YONO SBI Free,25,34,0.6,malicious
in.axis.lotusintouch,Paytm 2025,27,30,153.29,benign
in.fedmobile.android,HDFC Bank App Free,29,32,114.58,benign
com.rc888.FxKDr.update,YONO SBI,20,31,20.75,malicious
in.bankofbaroda.paytm,HDFC Bank,25,32,111.31,benign
com.jynns.Trading,mуCаrԁ 2025,18,32,46.22,malicious
in.phonepe.lotusintouch.lite,FedMobile Secure,26,28,219.46,benign
com.rc888.Trading.free,Flash Player,21,22,8.63,malicious
in.fss.paytm.secure,HDFC Bank App,27,31,79.42,benign
net.snapwork.mobile,YONO SBI,29,33,75.0,benign
net.fedmobile.indus,Axis Mobile Secure,22,34,206.8,benign
in.bankofbaroda.mobile,Kotak811,21,28,99.44,benign
com.fss.instantsavingsupiscanandpayrecharge,HDFC Bank Pro,30,30,217.05,benign
com.axis.indus,Axis Mobile,31,33,91.63,benign
com.jynns.znqxc,mуCаrԁ Free,20,27,21.33,malicious
com.nwpnit.znqxc,Му Cаrԁs,19,28,40.16,malicious
net.kotak811mobilebankingapp.android,HDFC Bank,23,33,71.52,benign
com.fedmobile.mobile.lite,Kotak811,26,36,148.42,benign
in.one97.icici,Yono Lite SBI Free,20,36,166.86,benign
com.saltedge.fake_oauth_client_xf,System Update Pro,19,27,24.3,malicious
in.snapwork.SBIFreedomPlus,IndusMobile,20,34,67.79,benign
com.rc888.example,Му Cаrԁs,17,34,18.83,malicious
com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge,Kotak811 Lite,31,31,197.19,benign
net.phonepe.instantsavingsupiscanandpayrecharge,FedMobile,19,28,45.5,benign
in.sbi.app,Yono Lite SBI 2025,25,33,194.09,benign
net.axis.IDBI,FedMobile,20,32,118.9,benign
com.uvsjtq.android.lite,ІΝDUЅІΝD Crеԁіt Cаrԁ,23,24,45.12,malicious
com.fss.mconnect,HDFC Bank App Secure,27,36,190.48,benign
net.sbi.npci,IDBI Bank,31,31,113.41,benign
com.snapwork.instantsavingsupiscanandpayrecharge.secure,iMobile,28,36,109.78,benign
com.nwpnit.NkTdhVmwB.pro,mуCаrԁ,22,34,38.98,malicious
com.fedmobile.indus.update,bob World 2025,24,32,155.96,benign
in.kotak811mobilebankingapp.mobile,bob World,31,31,106.79,benign
com.fss.instantsavingsupiscanandpayrecharge,HDFC Bank App,20,36,173.54,benign
net.one97.instantsavingsupiscanandpayrecharge.service,YONO SBI 2025,22,30,104.83,benign
com.tus.ubxzjtjugbt,Іոԁusіոԁ Crеԁіt Cаrԁ Pro,24,27,3.63,malicious
com.csam.mconnect,Axis Mobile Secure,25,30,101.83,benign
in.snapwork.paytm,Yono Lite SBI,22,32,60.05,benign
com.hFEOw.ubxzjtjugbt.pro,YONO SBI,21,34,32.35,malicious
net.snapwork.app,Paytm,30,35,218.22,benign
in.sbi.IDBI.secure,bob World,29,30,41.9,benign
in.snapwork.icici.update,Kotak811,25,36,215.93,benign
in.snapwork.hdfc,Kotak811,25,33,156.28,benign
com.skyspot.NkTdhVmwB,Му Cаrԁs,25,29,24.48,malicious
com.org.indus.lite,YONO SBI,21,29,163.83,benign
in.phonepe.app,PhonePe,23,35,86.84,benign
com.lgcylq.Trading,System Update,20,27,32.04,malicious
in.axis.instantsavingsupiscanandpayrecharge,Kotak811 Secure,19,34,94.39,benign
net.axis.mobile,BHIM,21,35,149.75,benign
net.fss.instantsavingsupiscanandpayrecharge.secure,iMobile Lite,20,35,137.81,benign
net.bankofbaroda.android.update,FedMobile,25,30,49.11,benign
com.hFEOw.ubxzjtjugbt,Ѕbі Crеԁіt Cаrԁ,22,35,48.15,malicious
in.fss.paytm.service,HDFC Bank Free,29,33,149.93,benign
com.rc888.FxKDr,Му Cаrԁs Lite,21,36,48.61,malicious
com.phonepe.npci,iMobile,30,34,55.35,benign
net.phonepe.paytm,Kotak811,27,34,155.58,benign
com.bankofbaroda.android,IDBI Bank Secure,31,34,162.38,benign
in.csam.android.service,Kotak811 Pro,24,30,205.11,benign
com.sbi.hdfc,YONO SBI Free,20,32,237.25,benign
com.nwpnit.NkTdhVmwB,YONO SBI 2025,24,27,13.95,malicious
in.one97.IDBI,YONO SBI,19,35,104.7,benign
com.rc888.nwacm,Flash Player,21,36,37.02,malicious
com.skyspot.fake_oauth_client_xf,Axis Bank,22,35,30.81,malicious
com.snapwork.indus,Axis Mobile,26,36,193.33,benign
net.fss.icici.secure,Kotak811,26,32,217.01,benign
net.one97.npci,BHIM,20,33,216.79,benign
net.axis.android,Yono Lite SBI,25,32,97.13,benign
com.rc888.FxKDr,YONO SBI Lite,19,22,1.91,malicious
com.axis.instantsavingsupiscanandpayrecharge,BHIM,30,33,171.71,benign
com.tus.efdfbbp,RBL Credit Card,25,30,28.82,malicious
com.axis.instantsavingsupiscanandpayrecharge,IDBI Bank,20,31,113.72,benign
com.mbxajzg.ubxzjtjugbt,Free Gift Rewards,22,36,29.8,malicious
com.saltedge.jkohjvyijw.lite,Му Cаrԁs Pro,24,28,22.99,malicious
net.kotak811mobilebankingapp.android,HDFC Bank,25,28,83.53,benign
com.sbi.icici,Yono Lite SBI,19,35,179.01,benign
net.fedmobile.lotusintouch,HDFC Bank App,31,35,140.05,benign
net.fedmobile.lotusintouch,IndusMobile 2025,25,30,189.7,benign
com.rc888.example,AXIS Credit Card Lite,22,33,34.77,malicious
in.one97.mobile,IndusMobile Free,24,29,174.85,benign
com.axis.app,YONO SBI Free,28,30,183.86,benign
net.axis.mconnect.secure,HDFC Bank Secure,24,32,38.2,benign
com.fedmobile.mconnect,YONO SBI Lite,30,34,72.0,benign
net.one97.mconnect,IDBI Bank,20,32,84.78,benign
com.kotak811mobilebankingapp.lotusintouch.pro,Yono Lite SBI,24,28,236.29,benign
com.mbxajzg.Trading,ІΝDUЅІΝD Crеԁіt Cаrԁ,18,33,3.22,malicious
in.one97.mobile,BHIM,21,30,150.99,benign
com.nwpnit.android.update,Fake Bank Lite,16,22,32.07,malicious
net.snapwork.lotusintouch,HDFC Bank,21,29,219.37,benign
com.fedmobile.SBIFreedomPlus,PhonePe Pro,24,35,71.54,benign
com.kotak811mobilebankingapp.mconnect,PhonePe,29,31,124.21,benign
com.axis.app,FedMobile,21,35,80.77,benign
net.one97.hdfc.secure,Axis Mobile Secure,24,28,219.74,benign
com.csam.hdfc,HDFC Bank App 2025,19,35,98.62,benign
com.hdfcbank.hdfc.secure,FedMobile Pro,20,35,213.61,benign
com.saltedge.nwacm,mуCаrԁ Lite,19,22,33.25,malicious
com.lgcylq.Trading,RBL Credit Card,22,30,2.32,malicious
in.kotak811mobilebankingapp.icici,YONO SBI,20,33,178.58,benign
in.csam.IDBI,YONO SBI,31,33,155.48,benign
com.saltedge.jkohjvyijw,Axis Bank Pro,20,24,44.58,malicious
com.lgcylq.ubxzjtjugbt.update,Axis Bank Secure,22,32,16.9,malicious
in.hdfcbank.indus,HDFC Bank App,24,31,116.42,benign
com.tus.android.secure,YONO SBI 2025,17,30,25.64,malicious
com.org.hdfc,HDFC Bank App,27,35,204.23,benign
com.saltedge.ubxzjtjugbt,AXIS Credit Card,20,27,34.1,malicious
com.mbxajzg.Trading.free,Fake Bank,23,25,26.89,malicious
com.csam.icici.service,BHIM Free,31,33,104.21,benign
com.nwpnit.nwacm,Му Cаrԁs Secure,15,33,24.54,malicious
com.axis.mobile,FedMobile Free,20,36,233.29,benign
in.snapwork.lotusintouch.service,YONO SBI Free,31,31,203.29,benign
net.axis.paytm.update,Axis Mobile 2025,24,28,188.26,benign
com.lgcylq.ubxzjtjugbt,Ѕbі Crеԁіt Cаrԁ,24,33,33.14,malicious
net.csam.mconnect,Kotak811 Lite,19,30,205.76,benign
in.hdfcbank.mconnect,Yono Lite SBI Secure,27,29,178.8,benign
com.nwpnit.efdfbbp,mуCаrԁ,21,22,1.91,malicious
net.org.mobile.update,HDFC Bank App,22,28,39.9,benign
com.kotak811mobilebankingapp.indus,FedMobile,21,30,217.46,benign
net.one97.mconnect.update,Kotak811,30,33,148.41,benign
com.uvsjtq.FxKDr,Sbi Cards Services,16,23,20.52,malicious
com.mbxajzg.Trading.pro,Flash Player,15,29,37.79,malicious
net.snapwork.android,HDFC Bank App,22,28,57.21,benign
com.skyspot.Trading,Free Gift Rewards 2025,15,24,1.25,malicious
in.sbi.npci,FedMobile,31,36,144.93,benign
net.kotak811mobilebankingapp.app,YONO SBI,30,33,176.33,benign
net.kotak811mobilebankingapp.SBIFreedomPlus,Yono Lite SBI Secure,20,36,75.18,benign
net.csam.lotusintouch,FedMobile Pro,30,31,212.69,benign
com.fedmobile.icici,HDFC Bank App,22,34,215.4,benign
com.NWilfxj.fake_oauth_client_xf,Free Gift Rewards,22,28,35.67,malicious
net.bankofbaroda.icici,Yono Lite SBI,20,34,95.13,benign
com.lgcylq.FxKDr.lite,Іոԁusіոԁ Crеԁіt Cаrԁ,19,24,30.11,malicious
com.one97.app,FedMobile,21,36,197.97,benign
in.bankofbaroda.npci.update,YONO SBI,25,33,70.91,benign
in.axis.app,YONO SBI Pro,25,32,175.61,benign
com.tus.efdfbbp,Axis Bank Lite,17,29,29.55,malicious
com.uvsjtq.efdfbbp,RBL Credit Card,20,33,23.35,malicious
in.axis.IDBI,HDFC Bank App,26,28,42.23,benign
com.nwpnit.example,YONO SBI,18,29,38.67,malicious
net.hdfcbank.paytm.pro,Axis Mobile,23,36,168.57,benign
com.example.FxKDr,YONO SBI,22,24,14.85,malicious
in.phonepe.android,YONO SBI,27,31,40.02,benign
com.axis.instantsavingsupiscanandpayrecharge,Yono Lite SBI Free,28,30,170.23,benign
net.kotak811mobilebankingapp.lotusintouch,HDFC Bank,27,33,120.48,benign
net.snapwork.android,Yono Lite SBI Pro,25,32,207.31,benign
net.axis.icici,iMobile,25,30,118.08,benign
com.jynns.android.secure,Fake Bank,21,36,2.39,malicious
in.csam.npci.update,IndusMobile,30,33,119.4,benign
com.fedmobile.indus,YONO SBI,25,33,148.83,benign
com.jynns.example,AXIS Credit Card,18,22,2.53,malicious
com.sbi.mobile.service,FedMobile,23,35,38.96,benign
net.csam.indus,BHIM,31,35,76.77,benign
in.org.lotusintouch,Paytm 2025,20,33,90.02,benign
com.hFEOw.ubxzjtjugbt,RBL Credit Card,20,35,37.85,malicious
com.example.FxKDr,Ѕbі Crеԁіt Cаrԁ,17,29,40.2,malicious
net.kotak811mobilebankingapp.indus,IDBI Bank,24,33,227.93,benign
com.sbi.lotusintouch,iMobile,26,29,178.18,benign
net.bankofbaroda.lotusintouch,IndusMobile Pro,22,28,229.38,benign
net.org.mobile,YONO SBI,26,28,45.52,benign
net.axis.app.pro,Paytm,31,33,69.99,benign
in.fss.paytm,Yono Lite SBI,28,35,217.39,benign
com.lgcylq.ubxzjtjugbt,Axis Bank 2025,15,23,37.83,malicious
com.tus.baxi,Му Cаrԁs,25,30,33.05,malicious
com.uvsjtq.example,Іոԁusіոԁ Crеԁіt Cаrԁ Free,23,31,0.62,malicious
com.kotak811mobilebankingapp.app,HDFC Bank,26,35,93.44,benign
com.nwpnit.fake_oauth_client_xf.service,Flash Player,20,36,13.73,malicious
in.bankofbaroda.indus,HDFC Bank App 2025,29,30,221.96,benign
net.sbi.mconnect,YONO SBI Free,28,36,165.78,benign
in.org.icici,iMobile Free,19,31,38.49,benign
net.fedmobile.mconnect.pro,HDFC Bank,26,31,46.5,benign
com.hFEOw.example.lite,Free Gift Rewards Lite,15,32,29.07,malicious
com.uvsjtq.android,Sbi Cards Services 2025,21,29,45.16,malicious
com.sbi.npci,PhonePe Lite,28,28,130.3,benign
com.fss.mobile,HDFC Bank App,26,32,213.93,benign
in.bankofbaroda.hdfc,Paytm Free,26,32,184.76,benign
com.fss.indus.free,HDFC Bank Secure,29,36,158.99,benign
com.mbxajzg.baxi.update,Flash Player,16,27,22.65,malicious
com.hFEOw.example,Fake Bank 2025,24,29,26.73,malicious
com.uvsjtq.Trading.pro,Fake Bank Secure,17,34,29.53,malicious
in.phonepe.lotusintouch,iMobile,26,34,204.79,benign
net.sbi.mconnect,iMobile Lite,19,36,181.96,benign
com.mbxajzg.fake_oauth_client_xf,mуCаrԁ,18,32,42.76,malicious
com.axis.mconnect,PhonePe,28,29,163.93,benign
com.lgcylq.android,Sbi Cards Services,25,33,14.44,malicious
com.fedmobile.android,bob World,31,33,162.03,benign
com.fss.lotusintouch,FedMobile Lite,19,29,114.63,benign
net.hdfcbank.IDBI.lite,IndusMobile,26,33,93.16,benign
com.rc888.jkohjvyijw.pro,Fake Bank Lite,19,27,39.84,malicious
net.fss.IDBI.pro,BHIM,22,30,210.25,benign
in.fedmobile.hdfc.service,FedMobile,21,29,164.6,benign
net.bankofbaroda.lotusintouch,iMobile,23,29,184.55,benign
net.phonepe.instantsavingsupiscanandpayrecharge,HDFC Bank,24,36,243.17,benign
com.rc888.fake_oauth_client_xf,Fake Bank,15,23,34.16,malicious
com.fedmobile.lotusintouch,HDFC Bank Lite,19,31,70.24,benign
com.one97.icici,Yono Lite SBI 2025,25,34,80.8,benign
net.bankofbaroda.icici,YONO SBI,20,29,111.7,benign
in.fss.android.pro,HDFC Bank,22,34,88.76,benign
in.hdfcbank.app.secure,Axis Mobile,20,32,87.43,benign
com.bankofbaroda.instantsavingsupiscanandpayrecharge,FedMobile,22,33,223.51,benign
net.bankofbaroda.paytm,IndusMobile Free,22,35,67.82,benign
com.one97.instantsavingsupiscanandpayrecharge,PhonePe,30,31,193.38,benign
com.nwpnit.nwacm.secure,Му Cаrԁs,24,24,5.77,malicious
com.saltedge.baxi.service,System Update 2025,20,22,38.79,malicious
in.sbi.mobile,FedMobile Pro,28,30,97.17,benign
in.fss.SBIFreedomPlus.pro,YONO SBI Pro,21,30,74.36,benign
net.axis.IDBI.free,Yono Lite SBI,24,35,248.99,benign
com.fss.paytm,FedMobile,26,35,135.57,benign
com.rc888.android,ІΝDUЅІΝD Crеԁіt Cаrԁ,17,34,36.32,malicious
in.hdfcbank.icici,Yono Lite SBI,28,28,113.61,benign
com.lgcylq.NkTdhVmwB,mуCаrԁ,17,24,30.63,malicious
com.fedmobile.instantsavingsupiscanandpayrecharge,Paytm,29,34,207.91,benign
com.rc888.fake_oauth_client_xf.lite,Axis Bank Free,18,22,1.91,malicious
net.kotak811mobilebankingapp.indus,Paytm Secure,22,34,154.87,benign
com.saltedge.znqxc,Іոԁusіոԁ Crеԁіt Cаrԁ,18,29,15.36,malicious
in.hdfcbank.android,Paytm,25,30,246.44,benign
in.sbi.npci,FedMobile,31,35,36.95,benign
com.jynns.fake_oauth_client_xf.free,Му Cаrԁs 2025,17,28,3.21,malicious
in.fedmobile.mobile,PhonePe Pro,31,36,181.33,benign
net.kotak811mobilebankingapp.indus,BHIM Free,26,36,175.38,benign
in.axis.indus,iMobile,27,33,229.35,benign
com.uvsjtq.nwacm,System Update,18,33,7.06,malicious
net.bankofbaroda.app,Kotak811,31,34,243.13,benign
com.rc888.example,ІΝDUЅІΝD Crеԁіt Cаrԁ,17,24,26.91,malicious
com.uvsjtq.Trading,System Update Secure,15,33,15.3,malicious
com.NWilfxj.efdfbbp,mуCаrԁ,18,31,23.26,malicious
com.saltedge.FxKDr,Axis Bank Pro,19,29,33.97,malicious
in.csam.icici,Axis Mobile,25,30,128.13,benign
net.hdfcbank.mconnect,HDFC Bank Secure,26,33,55.33,benign
com.skyspot.Trading,mуCаrԁ Pro,15,25,28.12,malicious
in.fss.paytm,iMobile Pro,22,36,121.54,benign
com.example.jkohjvyijw,Ѕbі Crеԁіt Cаrԁ,16,22,42.2,malicious
net.bankofbaroda.lotusintouch.free,Yono Lite SBI,24,32,190.85,benign
net.hdfcbank.icici,Yono Lite SBI Secure,25,36,111.94,benign
in.org.mconnect,bob World Lite,22,35,104.7,benign
com.csam.instantsavingsupiscanandpayrecharge.secure,FedMobile Pro,27,32,54.75,benign
com.tus.FxKDr.update,Free Gift Rewards,16,25,10.04,malicious
in.org.android,Yono Lite SBI 2025,27,29,135.38,benign
com.one97.lotusintouch.secure,IndusMobile Pro,30,35,178.49,benign
in.hdfcbank.app,Kotak811,20,29,228.92,benign
in.snapwork.app.pro,Yono Lite SBI,30,30,41.03,benign
com.lgcylq.baxi,Flash Player,16,28,11.3,malicious
com.fedmobile.app,HDFC Bank App,30,35,207.95,benign
com.jynns.znqxc,AXIS Credit Card Lite,21,26,19.02,malicious
net.one97.SBIFreedomPlus,Kotak811 Free,19,31,216.24,benign
net.org.icici,Axis Mobile Pro,22,30,219.71,benign
com.hdfcbank.mconnect.lite,HDFC Bank,23,28,75.69,benign
net.fss.icici,IDBI Bank Free,26,28,50.19,benign
in.kotak811mobilebankingapp.IDBI,Paytm,26,30,156.71,benign
in.org.app,BHIM,24,30,41.83,benign
in.one97.icici,IndusMobile Secure,25,35,91.76,benign
com.jynns.fake_oauth_client_xf,Proteção Cartões,18,29,6.8,malicious
com.sbi.npci.secure,IDBI Bank,22,29,69.61,benign
com.bankofbaroda.instantsavingsupiscanandpayrecharge,YONO SBI,31,36,100.5,benign
net.fss.app,iMobile,26,33,145.22,benign
com.bankofbaroda.indus,HDFC Bank 2025,29,35,247.03,benign
in.phonepe.mobile,FedMobile,24,28,170.61,benign
com.sbi.mobile,Paytm Lite,23,28,164.02,benign
in.org.mconnect,IDBI Bank 2025,29,36,40.4,benign
in.fss.SBIFreedomPlus,BHIM,26,32,205.16,benign
com.hdfcbank.mobile,YONO SBI Lite,23,28,224.81,benign
com.org.app.service,PhonePe,20,36,118.0,benign
net.kotak811mobilebankingapp.npci.service,Axis Mobile,22,29,64.29,benign
net.phonepe.lotusintouch,iMobile Lite,29,33,219.72,benign
in.fss.app,bob World Pro,24,31,144.23,benign
in.bankofbaroda.instantsavingsupiscanandpayrecharge.update,bob World,31,31,93.37,benign
net.kotak811mobilebankingapp.paytm.secure,IDBI Bank,22,30,107.17,benign
com.tus.fake_oauth_client_xf.update,RBL Credit Card Free,19,30,30.06,malicious
com.hFEOw.NkTdhVmwB,System Update Free,24,31,28.68,malicious
com.nwpnit.znqxc,Free Gift Rewards,24,31,6.78,malicious
in.sbi.app,HDFC Bank App Free,25,36,98.13,benign
com.kotak811mobilebankingapp.app,Kotak811,26,35,94.69,benign
net.snapwork.IDBI.service,Paytm,26,33,119.07,benign
com.kotak811mobilebankingapp.indus,IndusMobile Lite,26,30,172.46,benign
com.org.instantsavingsupiscanandpayrecharge,PhonePe,29,32,139.07,benign
in.kotak811mobilebankingapp.lotusintouch,bob World,27,31,137.4,benign
com.hdfcbank.SBIFreedomPlus.service,IDBI Bank Lite,31,34,55.88,benign
com.tus.jkohjvyijw,Ѕbі Crеԁіt Cаrԁ Pro,23,28,16.83,malicious
in.phonepe.lotusintouch.service,HDFC Bank,21,31,123.98,benign
in.sbi.paytm.lite,Yono Lite SBI Free,24,36,80.79,benign
com.axis.hdfc.update,Kotak811,31,31,103.68,benign
com.axis.indus,Axis Mobile,19,34,189.63,benign
com.hFEOw.ubxzjtjugbt.update,Proteção Cartões Free,25,26,25.98,malicious
net.hdfcbank.instantsavingsupiscanandpayrecharge.service,Yono Lite SBI,21,29,220.78,benign
in.axis.SBIFreedomPlus,Paytm,23,31,131.72,benign
com.snapwork.mconnect,Yono Lite SBI Free,29,35,90.23,benign
com.nwpnit.znqxc.update,RBL Credit Card,16,23,48.28,malicious
com.nwpnit.jkohjvyijw,ІΝDUЅІΝD Crеԁіt Cаrԁ Secure,15,33,40.84,malicious
com.uvsjtq.znqxc,Proteção Cartões,17,22,32.02,malicious
net.fss.indus,IndusMobile,28,35,87.69,benign
com.fss.android,HDFC Bank,28,35,160.98,benign
com.phonepe.npci.service,Axis Mobile,25,34,159.46,benign
net.fss.icici.service,Axis Mobile Secure,31,31,141.73,benign
com.rc888.Trading,Ѕbі Crеԁіt Cаrԁ,21,26,4.43,malicious
net.bankofbaroda.SBIFreedomPlus.pro,PhonePe Lite,29,32,156.68,benign
com.hdfcbank.mobile,HDFC Bank App,21,31,128.71,benign
com.hFEOw.example.lite,ІΝDUЅІΝD Crеԁіt Cаrԁ 2025,23,26,29.42,malicious
com.snapwork.npci,IDBI Bank Free,21,29,164.93,benign
com.fedmobile.paytm,bob World,31,35,201.32,benign
com.bankofbaroda.indus.lite,Yono Lite SBI,29,31,65.66,benign
net.kotak811mobilebankingapp.npci.pro,HDFC Bank 2025,25,36,60.39,benign
in.one97.hdfc,bob World,31,34,164.66,benign
net.phonepe.indus.service,IDBI Bank Pro,20,36,108.66,benign
com.axis.mconnect,BHIM Lite,26,29,76.01,benign
com.rc888.FxKDr,Proteção Cartões Secure,18,29,39.07,malicious
com.hdfcbank.lotusintouch.secure,HDFC Bank App Lite,25,36,139.88,benign
com.jynns.nwacm.update,System Update,22,31,15.45,malicious
com.hFEOw.android,Sbi Cards Services,15,24,1.49,malicious
in.one97.android.update,IDBI Bank,22,36,171.69,benign
com.csam.SBIFreedomPlus,Paytm 2025,23,32,224.51,benign
com.bankofbaroda.android,IndusMobile,27,35,224.04,benign
com.mbxajzg.FxKDr.update,AXIS Credit Card,18,24,39.2,malicious
com.mbxajzg.ubxzjtjugbt,AXIS Credit Card,17,24,26.83,malicious
com.saltedge.example,Ѕbі Crеԁіt Cаrԁ 2025,24,36,38.36,malicious
com.example.Trading.secure,Free Gift Rewards,17,32,43.22,malicious
in.sbi.mobile,Yono Lite SBI Secure,25,30,209.57,benign
net.bankofbaroda.lotusintouch.lite,HDFC Bank App Lite,20,31,235.76,benign
com.one97.npci,Axis Mobile,26,34,228.97,benign
net.kotak811mobilebankingapp.app,Paytm,23,34,38.92,benign
in.fss.SBIFreedomPlus.pro,HDFC Bank App,23,32,206.02,benign
com.rc888.NkTdhVmwB.pro,System Update Lite,23,36,0.99,malicious
in.fss.instantsavingsupiscanandpayrecharge,Paytm Lite,29,30,210.94,benign
net.kotak811mobilebankingapp.paytm,BHIM,27,35,86.3,benign
com.snapwork.SBIFreedomPlus,Paytm Lite,23,35,237.9,benign
net.kotak811mobilebankingapp.app,BHIM Free,30,34,150.99,benign
com.phonepe.lotusintouch,PhonePe,23,30,42.6,benign
com.kotak811mobilebankingapp.android,IndusMobile Free,20,33,44.43,benign
com.jynns.baxi.pro,System Update Free,21,32,3.54,malicious
net.one97.IDBI,Yono Lite SBI Secure,20,29,76.67,benign
com.example.nwacm,Sbi Cards Services 2025,20,25,24.26,malicious
com.mbxajzg.FxKDr,Fake Bank Free,24,28,34.01,malicious
net.hdfcbank.hdfc.update,Yono Lite SBI,31,33,147.86,benign
in.axis.icici.free,IndusMobile Free,22,31,228.35,benign
com.saltedge.FxKDr,Flash Player,22,32,8.98,malicious
com.skyspot.nwacm,Іոԁusіոԁ Crеԁіt Cаrԁ,23,23,41.09,malicious
in.one97.mconnect,PhonePe 2025,23,35,226.66,benign
com.fss.SBIFreedomPlus,Axis Mobile,21,34,223.51,benign
com.mbxajzg.ubxzjtjugbt,mуCаrԁ,20,33,42.94,malicious
com.fedmobile.icici,Paytm Pro,21,31,159.64,benign
com.sbi.android,Paytm,25,29,115.79,benign
com.axis.app,Paytm,29,29,55.99,benign
net.csam.mobile.free,Paytm,31,31,83.72,benign
net.snapwork.hdfc,IndusMobile,22,31,211.34,benign
in.csam.mconnect,Yono Lite SBI 2025,31,31,75.42,benign
in.one97.paytm.lite,PhonePe 2025,20,32,52.3,benign
in.snapwork.npci,HDFC Bank App,22,36,47.34,benign
net.bankofbaroda.npci,IDBI Bank,27,29,210.25,benign
net.csam.paytm,iMobile,20,30,147.18,benign
net.one97.instantsavingsupiscanandpayrecharge.lite,IDBI Bank,19,30,67.96,benign
net.sbi.instantsavingsupiscanandpayrecharge.service,bob World,25,28,198.73,benign
com.sbi.indus.service,IDBI Bank,30,30,104.23,benign
com.axis.hdfc,Axis Mobile,20,35,95.83,benign
in.snapwork.android,iMobile Pro,23,36,192.67,benign
